FIPS,3 / 1 / 2020,3 / 2 / 2020,3 / 3 / 2020,3 / 4 / 2020,3 / 5 / 2020,3 / 6 / 2020,3 / 7 / 2020,3 / 8 / 2020,3 / 9 / 2020,3 / 10 / 2020,3 / 11 / 2020,3 / 12 / 2020,3 / 13 / 2020,3 / 14 / 2020,3 / 15 / 2020,3 / 16 / 2020,3 / 17 / 2020,3 / 18 / 2020,3 / 19 / 2020,3 / 20 / 2020,3 / 21 / 2020
1001,3113,3874,4057,3449,3868,4231,3706,2733,4012,3575,4090,4151,4787,3673,2523,2705,2645,2585,2552,2020,1319
1003,40296,40093,41526,36614,41624,54166,61910,48273,48748,49493,49197,53184,65732,67158,53406,55473,52864,47219,39277,25036,14461
1005,2106,2606,2778,2332,2900,3420,2863,2020,2438,2581,2468,2711,3610,2748,2172,2481,2382,2387,2209,1940,1212
1007,1721,2168,2347,1916,2204,2340,1729,1588,2185,2032,2078,2576,2870,2200,1564,1747,1781,1679,1695,1406,791
1009,4192,4796,5664,4862,4995,6008,4758,3740,4981,4883,4862,5180,6105,5087,2945,3561,3310,2975,2864,2339,1470
1011,384,513,602,527,562,623,487,452,517,477,576,601,702,629,508,462,414,413,424,408,278
1013,2243,2442,2573,1992,2547,3060,2480,2103,2417,2436,2383,2803,3590,2916,2519,2350,2213,2236,2082,1590,945
1015,19180,17834,19117,17361,19108,25637,26219,17804,18921,17554,18130,21398,24269,21948,13609,15461,13633,12982,12797,9463,6233
1017,4076,4241,4464,4137,4214,5204,4016,3556,4473,4418,4386,4723,5714,4111,3605,3581,3230,3263,3170,2569,1750
1019,2331,2836,3375,2748,3200,3593,2924,2319,3310,2887,2906,3267,3964,2875,1843,2529,2230,2206,2266,1770,967
1021,4795,5347,6022,5034,5395,6948,5167,4375,5481,5571,5351,6269,7356,6249,4295,4613,4314,4110,4058,3297,1985
1023,814,1070,1245,1072,1200,1428,1374,889,1096,1312,1139,1185,1472,983,872,1159,1072,1070,867,661,342
1025,2936,3796,4123,3327,3795,4525,3143,2401,3812,3903,3659,4153,5129,3546,2525,3308,3092,2964,2697,2214,1191
1027,727,1014,1161,979,1033,1045,878,650,1097,1042,1067,1211,1240,851,699,898,769,712,843,557,335
1029,1021,1170,1319,1268,1247,1344,1016,999,1147,1277,1265,1387,1629,1272,853,1126,867,886,850,661,426
1031,6884,9223,10526,8573,9333,10976,9686,6450,8863,8603,9221,9647,11537,8765,6065,8101,7301,7056,6463,4804,2770
1033,8683,10678,11563,10714,11570,11969,10398,7882,10577,10840,10458,11045,12720,9280,6468,9115,7844,7751,7249,5699,3424
1035,761,757,861,699,877,987,932,630,792,922,846,945,1356,861,757,870,774,721,714,575,337
1037,180,219,237,194,231,244,237,170,252,208,249,290,322,247,187,202,238,212,234,154,117
1039,4559,6125,6197,5313,5801,6741,5152,4134,5509,5416,5757,6072,7488,5488,4047,5624,5312,5191,4776,3628,1928
1041,1121,1473,1532,1274,1449,1626,1157,1068,1305,1610,1383,1478,1689,1350,1072,1219,1204,1048,917,759,469
1043,10912,12080,13765,12272,13072,16485,16741,10107,12586,12842,12233,13882,17787,17150,8594,11657,9961,9305,8887,6906,4190
1045,3463,5267,5512,4082,4843,5582,4302,3269,4600,4922,4823,5376,6410,4096,3274,4457,4087,3986,3692,2954,1667
1047,3624,2550,2616,2353,2467,2937,2306,1934,2746,2331,2586,2726,3241,2149,1659,2189,1978,2075,2011,1564,939
1049,4889,5958,6779,6294,6778,7788,5823,4837,5835,5944,6224,6676,7792,5230,4066,5288,4620,4287,4410,3332,1907
1051,9537,10241,10304,9406,10416,13423,12362,9188,10383,10382,10133,12017,14203,10784,7965,8420,8123,7634,7517,6267,3806
1053,4094,5001,5206,4540,5065,5975,5296,3868,4818,4628,5239,5385,6420,4878,3629,4141,3856,3697,3618,3003,1728
1055,13893,13121,15248,13336,14106,18654,18107,12862,14151,13486,14322,15131,18291,16523,9864,11602,10295,9764,9772,7463,4740
1057,1709,2129,2267,2063,2133,2391,1688,1577,2207,2000,2024,2427,2623,1665,1307,1951,1500,1502,1466,1151,568
1059,792,1217,1276,1180,1184,1267,893,783,1159,1165,1179,1192,1499,954,631,1068,843,879,807,616,370
1061,2191,2909,3082,2426,2592,3463,2301,1972,2710,2648,2648,2919,3631,2571,2178,2673,2483,2206,2143,1877,1127
1063,265,361,411,203,287,338,382,254,284,266,252,229,365,337,221,231,280,246,220,187,158
1065,853,1055,1295,1091,1228,1519,1203,836,1116,1000,1075,1233,1340,923,663,835,728,718,759,634,421
1067,975,1574,1615,1225,1526,1707,1426,944,1425,1406,1411,1531,1724,950,949,1190,1022,1034,971,818,451
1069,20932,23810,24188,20665,24373,29503,29338,19447,22401,22386,23116,24438,30056,25670,16830,19460,18293,17424,16289,12520,7277
1071,4158,4772,5357,4747,5182,5823,4780,3787,4749,4423,5063,5206,6235,4516,3145,4215,3536,3440,3546,2594,1546
1073,130485,133100,148488,131939,146190,177963,180223,126834,137273,137531,137329,150419,166294,139932,88074,103864,89769,83683,81199,62640,37658
1075,1265,1592,1494,1555,1599,1755,1288,1166,1428,1549,1437,1627,1730,1250,1177,1123,1234,1203,1158,932,465
1077,18219,18297,20296,20182,20534,23891,22809,17532,17839,19009,18958,20528,24555,20911,13261,14373,12990,12106,11677,8420,5433
1079,4759,5303,5940,5249,6115,7008,6155,4840,5584,5492,5343,6222,7482,5915,4067,4584,4215,4077,3887,3014,1914
1081,28323,36568,35766,36870,35966,35896,25922,16601,19025,18779,19938,20341,25011,20417,15888,17367,15524,14253,13733,10600,6666
1083,6729,7583,8055,7552,8066,9238,8276,6343,7684,7054,7761,7950,9388,7174,5023,5899,5409,5193,5174,4000,2737
1085,351,384,379,327,308,846,775,297,343,448,341,324,473,333,291,238,205,249,223,133,89
1087,1328,1562,1593,1425,1566,1677,1240,980,1192,1181,1237,1230,1515,1027,961,984,1083,1025,1024,894,645
1089,58877,61310,67327,62933,66076,76987,77301,57081,63193,63452,63553,68071,78666,65363,40199,46383,43891,40737,39219,28213,18188
1091,2015,2640,2681,2527,2646,2997,2186,1894,2613,2640,2673,2998,3249,2307,1751,2410,2150,2310,2125,1753,993
1093,4805,5399,6267,5671,5788,6758,5162,4591,5238,5113,5164,6046,6869,5262,4073,4679,4261,4043,4265,3061,1768
1095,14382,15126,16837,15723,16064,19998,18677,13670,16001,15073,16062,16819,20588,16363,10705,12626,11534,11444,11159,8731,5987
1097,56612,67904,69372,59578,68165,77485,71366,51499,62403,61332,63987,69631,77714,59891,45380,54766,50477,45862,43190,35749,22027
1099,1420,2350,2229,1919,1964,2191,1996,1435,2301,2030,2096,2231,2408,1983,1402,1682,1493,1560,1310,1119,643
1101,36191,40995,40682,38859,44507,48475,46423,33606,41440,41999,42260,45739,48999,34826,24270,30150,27922,27124,25933,20585,12727
1103,18726,19534,20592,19994,20834,24066,22254,17426,19581,19820,19872,21828,25434,20394,14702,16751,15313,14913,14182,10325,6690
1105,575,822,784,739,762,821,696,592,798,692,755,745,722,457,328,412,411,467,404,339,239
1107,976,1428,1670,1205,1551,1535,988,868,1398,1612,1414,1819,1764,1007,843,1235,1086,993,909,711,411
1109,4030,4896,5117,4511,5193,5828,4174,3044,3910,3872,3938,4140,5063,3914,3089,4076,3656,3600,3237,2763,1699
1111,1771,2360,2592,2307,2387,2642,2163,1728,2061,2114,2292,2479,2776,2102,1552,1952,1733,1888,1818,1373,887
1113,4897,5312,6641,6364,6842,6066,6003,4637,5371,5549,5373,5665,6803,5388,4817,4716,4571,4438,4161,3520,2556
1115,10996,11054,12621,10776,11659,13979,12380,10160,11757,11229,11463,13141,14969,11790,8404,8827,8406,7701,7659,6040,4108
1117,35831,36481,41386,35328,39307,48087,47632,37686,39440,36837,38924,44472,47228,41175,27982,30246,26236,24027,23325,18637,11504
1119,828,1200,1238,1052,1154,1239,922,921,1166,1007,1139,1185,1321,991,804,919,857,772,635,500,309
1121,8647,10094,11466,9534,11265,12844,10493,7702,10626,10285,9913,11747,13733,10499,7379,9628,8478,8330,8328,6558,3888
1123,4250,4790,5195,4908,5217,6083,4815,3941,5466,4831,5090,5730,6515,4607,3703,4183,4051,4091,4119,3354,1870
1125,34943,41496,44361,39542,45050,53389,51418,32674,41954,41048,41653,45019,43379,26538,17463,22819,21815,20093,19326,15935,9297
1127,9579,11078,12373,10347,11345,13679,11168,9269,11051,10925,10358,12194,14265,11323,7898,9120,8058,7511,7223,5540,3355
1129,608,994,1297,821,897,1179,717,513,1079,971,917,949,1100,788,579,973,806,704,634,507,274
1131,450,882,776,506,543,614,440,348,531,486,553,673,848,475,350,475,512,422,428,353,208
1133,2355,3082,3622,2846,3221,3812,3023,2240,3260,2917,2856,3373,4014,2915,1705,2596,2267,2142,2094,1577,957
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,18657,21213,20722,21140,21911,23455,21933,15603,18307,19343,19828,21293,21640,17851,13720,16468,14505,13892,12836,11277,6806
2050,115,140,141,164,148,153,110,77,91,116,101,111,120,91,90,122,121,125,97,113,75
2060,7,14,22,16,14,15,7,9,17,14,30,16,15,11,4,20,14,7,12,8,4
2068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2070,29,36,27,47,61,36,23,16,35,28,34,26,35,13,15,32,28,24,17,23,14
2090,4624,5315,4941,4639,4760,5658,4705,3568,4224,4210,3999,4714,5148,3912,3011,3813,3625,3073,2948,2350,1646
2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2110,1129,1470,1526,1506,1573,1668,1411,1029,1409,1478,1548,1713,1746,1325,967,1171,1253,1138,1005,779,509
2122,1814,2753,2722,3068,3052,2932,2212,1597,2272,2496,2656,2609,2703,2204,1557,2352,2061,2070,1683,1367,874
2130,412,619,582,638,729,682,666,440,576,608,581,624,646,468,383,509,510,418,416,360,240
2150,377,485,469,481,471,467,450,308,450,502,483,472,478,330,292,352,394,284,284,242,148
2158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2170,1048,1352,1512,1461,1534,1726,1315,1007,1035,1144,1173,1347,1472,1195,871,1118,1090,986,982,776,483
2180,89,98,122,107,98,102,86,77,98,105,118,125,136,129,118,150,168,175,140,106,53
2185,158,215,214,232,230,213,192,146,244,228,197,221,168,163,172,210,213,214,200,187,121
2188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2220,235,272,288,307,326,361,306,230,360,316,290,285,289,271,177,199,207,201,170,172,106
2230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2240,49,74,72,118,72,67,59,51,81,89,102,94,110,80,53,74,91,81,67,54,37
2261,166,262,258,254,256,243,213,171,203,218,207,204,245,227,174,224,206,191,172,137,106
2275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2290,48,66,67,68,59,62,49,50,67,38,48,51,55,45,46,42,39,35,34,24,16
4001,902,1426,1183,1257,1294,1276,1078,982,1397,1312,1202,1296,1385,1135,912,1127,1087,1017,946,783,593
4003,8093,9766,9015,9092,9734,10804,10397,7434,9610,9146,9037,9572,11820,9719,7655,8396,8201,7018,7271,6379,3996
4005,16189,19295,18443,18170,19025,20425,20435,18109,23808,21747,20735,21163,19427,16690,15019,15397,13912,9735,8507,7197,5392
4007,3141,3292,3283,3348,3312,3912,3729,3000,3218,2835,2758,3222,3562,3362,3239,3227,3090,2794,2570,2455,1890
4009,2077,3084,2984,3028,3081,3200,2739,1879,2888,2891,2992,3086,3084,2157,1692,2274,2299,2195,2210,1862,1270
4011,201,327,304,343,358,254,255,189,273,217,273,341,298,229,185,243,274,230,205,183,143
4012,2534,2497,2374,2127,2534,2875,2832,2617,2452,2193,2143,2439,3147,2489,2472,2298,2301,1927,2142,1795,1326
4013,348927,380305,373493,360570,382845,420232,402306,317611,335863,328164,326872,353111,393950,336277,271379,293833,274115,236744,230895,195599,135948
4015,9909,11778,11612,11353,13989,14057,12619,9500,11298,10929,10300,10425,12571,10737,9256,10369,10063,8827,8867,7332,4789
